,dia,variable,value
3783,2014-03-14,s,12247
3784,2014-03-15,s,10696
3785,2014-03-16,s,9233
3786,2014-03-17,s,12245
3787,2014-03-18,s,11997
3788,2014-03-19,s,11667
3789,2014-03-20,s,11437
3790,2014-03-21,s,11395
3791,2014-03-22,s,9471
3792,2014-03-23,s,7777
3793,2014-03-24,s,10746
3794,2014-03-25,s,11399
3795,2014-03-26,s,11545
3796,2014-03-27,s,11907
3797,2014-03-28,s,12086
3798,2014-03-29,s,10527
3799,2014-03-30,s,8820
3800,2014-03-31,s,11507
3801,2014-04-01,s,11799
3802,2014-04-02,s,11868
3803,2014-04-03,s,11867
3804,2014-04-04,s,11836
3805,2014-04-05,s,10239
3806,2014-04-06,s,8996
3807,2014-04-07,s,12155
3808,2014-04-08,s,12545
3809,2014-04-09,s,11616
3810,2014-04-10,s,11347
3811,2014-04-11,s,11606
3812,2014-04-12,s,9758
3813,2014-04-13,s,7833
3814,2014-04-14,s,10351
3815,2014-04-15,s,10841
3816,2014-04-16,s,11102
3817,2014-04-17,s,11178
3818,2014-04-18,s,8157
3819,2014-04-19,s,8393
3820,2014-04-20,s,7374
3821,2014-04-21,s,8349
3822,2014-04-22,s,10800
3823,2014-04-23,s,10966
3824,2014-04-24,s,10888
3825,2014-04-25,s,10816
3826,2014-04-26,s,9336
3827,2014-04-27,s,7802
3828,2014-04-28,s,10424
3829,2014-04-29,s,10871
3830,2014-04-30,s,10849
3831,2014-05-01,s,8274
3832,2014-05-02,s,9562
3833,2014-05-03,s,8657
3834,2014-05-04,s,7534
3835,2014-05-05,s,10436
3836,2014-05-06,s,11062
3837,2014-05-07,s,11170
3838,2014-05-08,s,11226
3839,2014-05-09,s,10839
3840,2014-05-10,s,9147
3841,2014-05-11,s,7571
3842,2014-05-12,s,10461
3843,2014-05-13,s,10925
3844,2014-05-14,s,11056
3845,2014-05-15,s,11063
3846,2014-05-16,s,10854
3847,2014-05-17,s,9221
3848,2014-05-18,s,7768
3849,2014-05-19,s,10448
3850,2014-05-20,s,10913
3851,2014-05-21,s,11008
3852,2014-05-22,s,10787
3853,2014-05-23,s,10594
3854,2014-05-24,s,9121
3855,2014-05-25,s,7883
3856,2014-05-26,s,10367
3857,2014-05-27,s,10837
3858,2014-05-28,s,11001
3859,2014-05-29,s,10906
3860,2014-05-30,s,10728
3861,2014-05-31,s,9189
3862,2014-06-01,s,7680
3863,2014-06-02,s,10274
3864,2014-06-03,s,10789
3865,2014-06-04,s,10768
3866,2014-06-05,s,11016
3867,2014-06-06,s,10933
3868,2014-06-07,s,9402
3869,2014-06-08,s,8083
3870,2014-06-09,s,10633
3871,2014-06-10,s,11037
3872,2014-06-11,s,10884
3873,2014-06-12,s,10460
3874,2014-06-13,s,10890
3875,2014-06-14,s,9501
3876,2014-06-15,s,7904
3877,2014-06-16,s,10486
3878,2014-06-17,s,10378
3879,2014-06-18,s,10789
3880,2014-06-19,s,9003
3881,2014-06-20,s,10062
3882,2014-06-21,s,8899
3883,2014-06-22,s,7746
3884,2014-06-23,s,10032
3885,2014-06-24,s,10681
3886,2014-06-25,s,10793
3887,2014-06-26,s,10582
3888,2014-06-27,s,10826
3889,2014-06-28,s,8944
3890,2014-06-29,s,7782
3891,2014-06-30,s,10448
3892,2014-07-01,s,10762
3893,2014-07-02,s,10755
3894,2014-07-03,s,10904
3895,2014-07-04,s,10444
3896,2014-07-05,s,9142
3897,2014-07-06,s,7821
3898,2014-07-07,s,10395
3899,2014-07-08,s,10461
3900,2014-07-09,s,10980
3901,2014-07-10,s,11002
3902,2014-07-11,s,10872
3903,2014-07-12,s,9103
3904,2014-07-13,s,7620
3905,2014-07-14,s,10409
3906,2014-07-15,s,10795
3907,2014-07-16,s,10953
3908,2014-07-17,s,10963
3909,2014-07-18,s,10674
3910,2014-07-19,s,9130
3911,2014-07-20,s,7644
3912,2014-07-21,s,10334
3913,2014-07-22,s,10800
3914,2014-07-23,s,10938
3915,2014-07-24,s,10973
3916,2014-07-25,s,10591
3917,2014-07-26,s,9100
3918,2014-07-27,s,7689
3919,2014-07-28,s,10542
3920,2014-07-29,s,10727
3921,2014-07-30,s,10712
3922,2014-07-31,s,10749
3923,2014-08-01,s,10724
3924,2014-08-02,s,8909
3925,2014-08-03,s,7532
3926,2014-08-04,s,10402
3927,2014-08-05,s,10699
3928,2014-08-06,s,10638
3929,2014-08-07,s,10829
3930,2014-08-08,s,10839
3931,2014-08-09,s,9213
3932,2014-08-10,s,7635
3933,2014-08-11,s,10478
3934,2014-08-12,s,10967
3935,2014-08-13,s,10732
3936,2014-08-14,s,10877
3937,2014-08-15,s,10775
3938,2014-08-16,s,9055
3939,2014-08-17,s,7407
3940,2014-08-18,s,10175
3941,2014-08-19,s,10711
3942,2014-08-20,s,10664
3943,2014-08-21,s,10749
3944,2014-08-22,s,10844
3945,2014-08-23,s,9350
3946,2014-08-24,s,7949
3947,2014-08-25,s,10560
3948,2014-08-26,s,10603
3949,2014-08-27,s,10703
3950,2014-08-28,s,10863
3951,2014-08-29,s,10695
3952,2014-08-30,s,9089
3953,2014-08-31,s,7585
3954,2014-09-01,s,9982
3955,2014-09-02,s,10527
3956,2014-09-03,s,10465
3957,2014-09-04,s,10362
3958,2014-09-05,s,10309
3959,2014-09-06,s,8734
3960,2014-09-07,s,7245
3961,2014-09-08,s,9947
3962,2014-09-09,s,10832
3963,2014-09-10,s,11119
3964,2014-09-11,s,11029
3965,2014-09-12,s,11082
3966,2014-09-13,s,9643
3967,2014-09-14,s,7983
3968,2014-09-15,s,10521
3969,2014-09-16,s,10620
3970,2014-09-17,s,10725
3971,2014-09-18,s,10759
3972,2014-09-19,s,10418
3973,2014-09-20,s,8836
3974,2014-09-21,s,7447
3975,2014-09-22,s,10070
3976,2014-09-23,s,10588
3977,2014-09-24,s,10673
3978,2014-09-25,s,10734
3979,2014-09-26,s,10613
3980,2014-09-27,s,8978
3981,2014-09-28,s,7545
3982,2014-09-29,s,10291
3983,2014-09-30,s,10713
3984,2014-10-01,s,10546
3985,2014-10-02,s,10485
3986,2014-10-03,s,10362
3987,2014-10-04,s,8648
3988,2014-10-05,s,7120
3989,2014-10-06,s,10050
3990,2014-10-07,s,10724
3991,2014-10-08,s,11139
3992,2014-10-09,s,11383
3993,2014-10-10,s,11502
3994,2014-10-11,s,9706
3995,2014-10-12,s,8223
3996,2014-10-13,s,11172
3997,2014-10-14,s,11386
3998,2014-10-15,s,11406
3999,2014-10-16,s,11418
4000,2014-10-17,s,11422
4001,2014-10-18,s,9589
4002,2014-10-19,s,7897
4003,2014-10-20,s,10274
4004,2014-10-21,s,10694
4005,2014-10-22,s,10736
4006,2014-10-23,s,10972
4007,2014-10-24,s,11245
4008,2014-10-25,s,9579
4009,2014-10-26,s,7968
4010,2014-10-27,s,11229
4011,2014-10-28,s,12104
4012,2014-10-29,s,12440
4013,2014-10-30,s,11838
4014,2014-10-31,s,11547
4015,2014-11-01,s,9864
4016,2014-11-02,s,8107
4017,2014-11-03,s,11239
4018,2014-11-04,s,11469
4019,2014-11-05,s,11007
4020,2014-11-06,s,11165
4021,2014-11-07,s,10907
4022,2014-11-08,s,9251
4023,2014-11-09,s,8054
4024,2014-11-10,s,11266
4025,2014-11-11,s,11671
4026,2014-11-12,s,11604
4027,2014-11-13,s,11511
4028,2014-11-14,s,11061
4029,2014-11-15,s,8723
4030,2014-11-16,s,8093
4031,2014-11-17,s,11332
4032,2014-11-18,s,11813
4033,2014-11-19,s,12110
4034,2014-11-20,s,12232
4035,2014-11-21,s,12177
4036,2014-11-22,s,10174
4037,2014-11-23,s,8486
4038,2014-11-24,s,11753
4039,2014-11-25,s,11985
4040,2014-11-26,s,11766
4041,2014-11-27,s,12035
4042,2014-11-28,s,11978
4043,2014-11-29,s,10532
4044,2014-11-30,s,9185
4045,2014-12-01,s,12368
4046,2014-12-02,s,12869
4047,2014-12-03,s,12244
4048,2014-12-04,s,11874
4049,2014-12-05,s,11862
4050,2014-12-06,s,10340
4051,2014-12-07,s,9618
4052,2014-12-08,s,13082
4053,2014-12-09,s,13127
4054,2014-12-10,s,13030
4055,2014-12-11,s,12798
4056,2014-12-12,s,12433
4057,2014-12-13,s,10361
4058,2014-12-14,s,8748
4059,2014-12-15,s,11449
4060,2014-12-16,s,11918
4061,2014-12-17,s,11969
4062,2014-12-18,s,12257
4063,2014-12-19,s,11986
4064,2014-12-20,s,10751
4065,2014-12-21,s,8584
4066,2014-12-22,s,9497
4067,2014-12-23,s,9253
4068,2014-12-24,s,8280
4069,2014-12-25,s,7191
4070,2014-12-26,s,9169
4071,2014-12-27,s,8624
4072,2014-12-28,s,8132
4073,2014-12-29,s,9582
4074,2014-12-30,s,9911
4075,2014-12-31,s,8898
4076,2015-01-01,s,7718
4077,2015-01-02,s,8512
4078,2015-01-03,s,8511
4079,2015-01-04,s,8229
4080,2015-01-05,s,10872
4081,2015-01-06,s,12308
4082,2015-01-07,s,12697
4083,2015-01-08,s,12421
4084,2015-01-09,s,12302
4085,2015-01-10,s,10970
4086,2015-01-11,s,9661
4087,2015-01-12,s,13023
4088,2015-01-13,s,13817
4089,2015-01-14,s,13255
4090,2015-01-15,s,12701
4091,2015-01-16,s,12996
4092,2015-01-17,s,11493
4093,2015-01-18,s,9946
4094,2015-01-19,s,13065
4095,2015-01-20,s,12986
4096,2015-01-21,s,12328
4097,2015-01-22,s,12202
4098,2015-01-23,s,12376
4099,2015-01-24,s,11064
4100,2015-01-25,s,9693
4101,2015-01-26,s,12979
4102,2015-01-27,s,13527
4103,2015-01-28,s,13362
4104,2015-01-29,s,12683
4105,2015-01-30,s,11973
4106,2015-01-31,s,10274
4107,2015-02-01,s,9226
4108,2015-02-02,s,12446
4109,2015-02-03,s,13181
4110,2015-02-04,s,12704
4111,2015-02-05,s,12479
4112,2015-02-06,s,12473
4113,2015-02-07,s,10782
4114,2015-02-08,s,9564
4115,2015-02-09,s,12907
4116,2015-02-10,s,13513
4117,2015-02-11,s,13437
4118,2015-02-12,s,13510
4119,2015-02-13,s,13075
4120,2015-02-14,s,10505
4121,2015-02-15,s,8722
4122,2015-02-16,s,10563
4123,2015-02-17,s,10655
4124,2015-02-18,s,12041
4125,2015-02-19,s,12547
4126,2015-02-20,s,12239
4127,2015-02-21,s,10754
4128,2015-02-22,s,9109
4129,2015-02-23,s,12004
4130,2015-02-24,s,12148
4131,2015-02-25,s,12225
4132,2015-02-26,s,12415
4133,2015-02-27,s,12318
4134,2015-02-28,s,10255
4135,2015-03-01,s,8960
4136,2015-03-02,s,12115
4137,2015-03-03,s,13049
4138,2015-03-04,s,13108
4139,2015-03-05,s,12974
4140,2015-03-06,s,12634
4141,2015-03-07,s,10613
4142,2015-03-08,s,9271
4143,2015-03-09,s,12262
4144,2015-03-10,s,12623
4145,2015-03-11,s,12671
4146,2015-03-12,s,12733
4147,2015-03-13,s,12806
4148,2015-03-14,s,11401
4149,2015-03-15,s,9967
4150,2015-03-16,s,12826
4151,2015-03-17,s,12858
4152,2015-03-18,s,12723
4153,2015-03-19,s,12644
4154,2015-03-20,s,12711
4155,2015-03-21,s,10671
4156,2015-03-22,s,8654
4157,2015-03-23,s,11367
4158,2015-03-24,s,12045
4159,2015-03-25,s,12291
4160,2015-03-26,s,12181
4161,2015-03-27,s,11647
4162,2015-03-28,s,9851
4163,2015-03-29,s,8282
4164,2015-03-30,s,10905
4165,2015-03-31,s,11465
4166,2015-04-01,s,11795
4167,2015-04-02,s,11624
4168,2015-04-03,s,8737
4169,2015-04-04,s,9279
4170,2015-04-05,s,8224
4171,2015-04-06,s,10726
4172,2015-04-07,s,11097
4173,2015-04-08,s,11300
4174,2015-04-09,s,11613
4175,2015-04-10,s,11731
4176,2015-04-11,s,10141
4177,2015-04-12,s,8734
4178,2015-04-13,s,11525
4179,2015-04-14,s,11881
4180,2015-04-15,s,11916
4181,2015-04-16,s,11732
4182,2015-04-17,s,11596
4183,2015-04-18,s,9572
4184,2015-04-19,s,8235
4185,2015-04-20,s,10272
4186,2015-04-21,s,9173
4187,2015-04-22,s,10688
4188,2015-04-23,s,10904
4189,2015-04-24,s,11035
4190,2015-04-25,s,9380
4191,2015-04-26,s,7961
4192,2015-04-27,s,10834
4193,2015-04-28,s,11221
4194,2015-04-29,s,10991
4195,2015-04-30,s,10825
4196,2015-05-01,s,8216
4197,2015-05-02,s,8143
4198,2015-05-03,s,7779
4199,2015-05-04,s,10266
4200,2015-05-05,s,10766
4201,2015-05-06,s,10971
4202,2015-05-07,s,10876
4203,2015-05-08,s,10844
4204,2015-05-09,s,9220
4205,2015-05-10,s,7820
4206,2015-05-11,s,10466
4207,2015-05-12,s,10753
4208,2015-05-13,s,10780
4209,2015-05-14,s,10665
4210,2015-05-15,s,10540
4211,2015-05-16,s,9090
4212,2015-05-17,s,7788
4213,2015-05-18,s,10422
4214,2015-05-19,s,10806
4215,2015-05-20,s,10886
4216,2015-05-21,s,11031
4217,2015-05-22,s,11218
4218,2015-05-23,s,9598
4219,2015-05-24,s,8019
4220,2015-05-25,s,10225
4221,2015-05-26,s,10558
4222,2015-05-27,s,10574
4223,2015-05-28,s,10397
4224,2015-05-29,s,10215
4225,2015-05-30,s,8677
4226,2015-05-31,s,7362
4227,2015-06-01,s,10169
4228,2015-06-02,s,10542
4229,2015-06-03,s,10492
4230,2015-06-04,s,8615
4231,2015-06-05,s,9444
4232,2015-06-06,s,8653
4233,2015-06-07,s,7804
4234,2015-06-08,s,10457
4235,2015-06-09,s,11009
4236,2015-06-10,s,11155
4237,2015-06-11,s,11044
4238,2015-06-12,s,10616
4239,2015-06-13,s,9051
4240,2015-06-14,s,7589
4241,2015-06-15,s,9914
4242,2015-06-16,s,10367
4243,2015-06-17,s,10563
4244,2015-06-18,s,10734
4245,2015-06-19,s,10496
4246,2015-06-20,s,8727
4247,2015-06-21,s,7447
4248,2015-06-22,s,9968
4249,2015-06-23,s,10425
4250,2015-06-24,s,10673
4251,2015-06-25,s,10417
4252,2015-06-26,s,10318
4253,2015-06-27,s,8677
4254,2015-06-28,s,7376
4255,2015-06-29,s,9988
4256,2015-06-30,s,10347
4257,2015-07-01,s,10399
4258,2015-07-02,s,10609
4259,2015-07-03,s,10556
4260,2015-07-04,s,8849
4261,2015-07-05,s,7695
4262,2015-07-06,s,10331
4263,2015-07-07,s,10838
4264,2015-07-08,s,10791
4265,2015-07-09,s,10611
4266,2015-07-10,s,10359
4267,2015-07-11,s,9036
4268,2015-07-12,s,7674
4269,2015-07-13,s,10207
4270,2015-07-14,s,10633
4271,2015-07-15,s,10899
4272,2015-07-16,s,10664
4273,2015-07-17,s,10432
4274,2015-07-18,s,8797
4275,2015-07-19,s,7340
4276,2015-07-20,s,10114
4277,2015-07-21,s,10410
4278,2015-07-22,s,10367
4279,2015-07-23,s,10464
4280,2015-07-24,s,10362
4281,2015-07-25,s,8608
4282,2015-07-26,s,7340
