,dia,variable,value
7101,2014-02-14,ne,10185
7102,2014-02-15,ne,9550
7103,2014-02-16,ne,8773
7104,2014-02-17,ne,9890
7105,2014-02-18,ne,10150
7106,2014-02-19,ne,10147
7107,2014-02-20,ne,10074
7108,2014-02-21,ne,9911
7109,2014-02-22,ne,9495
7110,2014-02-23,ne,8789
7111,2014-02-24,ne,9878
7112,2014-02-25,ne,10168
7113,2014-02-26,ne,10211
7114,2014-02-27,ne,10348
7115,2014-02-28,ne,10162
7116,2014-03-01,ne,9481
7117,2014-03-02,ne,8649
7118,2014-03-03,ne,8785
7119,2014-03-04,ne,8683
7120,2014-03-05,ne,9271
7121,2014-03-06,ne,10136
7122,2014-03-07,ne,10234
7123,2014-03-08,ne,9778
7124,2014-03-09,ne,9058
7125,2014-03-10,ne,10164
7126,2014-03-11,ne,10231
7127,2014-03-12,ne,10117
7128,2014-03-13,ne,9959
7129,2014-03-14,ne,9883
7130,2014-03-15,ne,9457
7131,2014-03-16,ne,8783
7132,2014-03-17,ne,9821
7133,2014-03-18,ne,10123
7134,2014-03-19,ne,9961
7135,2014-03-20,ne,10173
7136,2014-03-21,ne,10274
7137,2014-03-22,ne,9720
7138,2014-03-23,ne,9073
7139,2014-03-24,ne,10156
7140,2014-03-25,ne,10128
7141,2014-03-26,ne,10357
7142,2014-03-27,ne,10389
7143,2014-03-28,ne,10208
7144,2014-03-29,ne,9527
7145,2014-03-30,ne,8714
7146,2014-03-31,ne,9789
7147,2014-04-01,ne,10083
7148,2014-04-02,ne,10261
7149,2014-04-03,ne,10343
7150,2014-04-04,ne,10376
7151,2014-04-05,ne,9835
7152,2014-04-06,ne,9033
7153,2014-04-07,ne,10010
7154,2014-04-08,ne,10201
7155,2014-04-09,ne,10133
7156,2014-04-10,ne,10123
7157,2014-04-11,ne,10093
7158,2014-04-12,ne,9480
7159,2014-04-13,ne,8872
7160,2014-04-14,ne,10062
7161,2014-04-15,ne,10130
7162,2014-04-16,ne,10084
7163,2014-04-17,ne,9770
7164,2014-04-18,ne,8478
7165,2014-04-19,ne,8951
7166,2014-04-20,ne,8678
7167,2014-04-21,ne,8989
7168,2014-04-22,ne,10219
7169,2014-04-23,ne,10391
7170,2014-04-24,ne,10373
7171,2014-04-25,ne,10506
7172,2014-04-26,ne,10003
7173,2014-04-27,ne,9039
7174,2014-04-28,ne,9672
7175,2014-04-29,ne,9558
7176,2014-04-30,ne,9455
7177,2014-05-01,ne,8382
7178,2014-05-02,ne,9502
7179,2014-05-03,ne,9081
