,dia,variable,value
335,2013-12-02,seco,38472
336,2013-12-03,seco,40247
337,2013-12-04,seco,40877
338,2013-12-05,seco,41538
339,2013-12-06,seco,39472
340,2013-12-07,seco,35410
341,2013-12-08,seco,32234
342,2013-12-09,seco,39579
343,2013-12-10,seco,40727
344,2013-12-11,seco,39458
345,2013-12-12,seco,38417
346,2013-12-13,seco,37516
347,2013-12-14,seco,34588
348,2013-12-15,seco,31779
349,2013-12-16,seco,37585
350,2013-12-17,seco,37514
351,2013-12-18,seco,37743
352,2013-12-19,seco,37644
353,2013-12-20,seco,37675
354,2013-12-21,seco,34342
355,2013-12-22,seco,31310
356,2013-12-23,seco,34232
357,2013-12-24,seco,31998
358,2013-12-25,seco,28691
359,2013-12-26,seco,35534
360,2013-12-27,seco,36907
361,2013-12-28,seco,35336
362,2013-12-29,seco,32720
363,2013-12-30,seco,36037
364,2013-12-31,seco,33539
365,2014-01-01,seco,30534
366,2014-01-02,seco,37175
367,2014-01-03,seco,39691
368,2014-01-04,seco,37161
369,2014-01-05,seco,33873
370,2014-01-06,seco,40100
371,2014-01-07,seco,40928
372,2014-01-08,seco,41772
373,2014-01-09,seco,42246
374,2014-01-10,seco,42275
375,2014-01-11,seco,38810
376,2014-01-12,seco,34754
377,2014-01-13,seco,41101
378,2014-01-14,seco,41904
379,2014-01-15,seco,42256
380,2014-01-16,seco,41887
381,2014-01-17,seco,41066
382,2014-01-18,seco,36575
383,2014-01-19,seco,32812
384,2014-01-20,seco,39439
385,2014-01-21,seco,41494
386,2014-01-22,seco,42109
387,2014-01-23,seco,42615
388,2014-01-24,seco,42655
389,2014-01-25,seco,38300
390,2014-01-26,seco,35120
391,2014-01-27,seco,42323
392,2014-01-28,seco,43566
393,2014-01-29,seco,43686
394,2014-01-30,seco,43761
395,2014-01-31,seco,43835
396,2014-02-01,seco,39997
397,2014-02-02,seco,36535
398,2014-02-03,seco,44127
399,2014-02-04,seco,44764
400,2014-02-05,seco,45123
401,2014-02-06,seco,45169
402,2014-02-07,seco,44898
403,2014-02-08,seco,40922
404,2014-02-09,seco,36860
405,2014-02-10,seco,44108
406,2014-02-11,seco,44821
407,2014-02-12,seco,44229
408,2014-02-13,seco,44309
409,2014-02-14,seco,43704
410,2014-02-15,seco,38859
411,2014-02-16,seco,33670
412,2014-02-17,seco,39861
413,2014-02-18,seco,40126
414,2014-02-19,seco,40045
415,2014-02-20,seco,40872
416,2014-02-21,seco,41676
417,2014-02-22,seco,38315
418,2014-02-23,seco,34514
419,2014-02-24,seco,41490
420,2014-02-25,seco,42118
421,2014-02-26,seco,43036
422,2014-02-27,seco,43799
423,2014-02-28,seco,42339
424,2014-03-01,seco,36998
425,2014-03-02,seco,32966
426,2014-03-03,seco,35143
427,2014-03-04,seco,35361
428,2014-03-05,seco,39345
429,2014-03-06,seco,41134
430,2014-03-07,seco,40665
431,2014-03-08,seco,36235
432,2014-03-09,seco,32619
433,2014-03-10,seco,40633
434,2014-03-11,seco,41907
435,2014-03-12,seco,41958
436,2014-03-13,seco,41938
437,2014-03-14,seco,42429
438,2014-03-15,seco,39159
439,2014-03-16,seco,35873
440,2014-03-17,seco,43101
441,2014-03-18,seco,43478
442,2014-03-19,seco,43411
443,2014-03-20,seco,43598
444,2014-03-21,seco,43310
445,2014-03-22,seco,38581
446,2014-03-23,seco,33149
447,2014-03-24,seco,38525
448,2014-03-25,seco,39487
449,2014-03-26,seco,39660
450,2014-03-27,seco,40045
451,2014-03-28,seco,40401
452,2014-03-29,seco,36901
453,2014-03-30,seco,33544
454,2014-03-31,seco,40409
455,2014-04-01,seco,41337
456,2014-04-02,seco,41425
457,2014-04-03,seco,40952
458,2014-04-04,seco,40296
459,2014-04-05,seco,36363
460,2014-04-06,seco,32737
461,2014-04-07,seco,39630
462,2014-04-08,seco,40704
463,2014-04-09,seco,41554
464,2014-04-10,seco,41031
465,2014-04-11,seco,41014
466,2014-04-12,seco,37681
467,2014-04-13,seco,33782
468,2014-04-14,seco,38713
469,2014-04-15,seco,38301
470,2014-04-16,seco,38536
471,2014-04-17,seco,38668
472,2014-04-18,seco,31997
473,2014-04-19,seco,33158
474,2014-04-20,seco,31128
475,2014-04-21,seco,32589
476,2014-04-22,seco,38208
477,2014-04-23,seco,38871
478,2014-04-24,seco,38624
479,2014-04-25,seco,37432
480,2014-04-26,seco,33697
481,2014-04-27,seco,29960
482,2014-04-28,seco,35432
483,2014-04-29,seco,36104
484,2014-04-30,seco,36247
485,2014-05-01,seco,31823
486,2014-05-02,seco,34990
487,2014-05-03,seco,33448
488,2014-05-04,seco,30782
489,2014-05-05,seco,37369
490,2014-05-06,seco,38305
491,2014-05-07,seco,38426
492,2014-05-08,seco,38575
493,2014-05-09,seco,38027
494,2014-05-10,seco,33750
495,2014-05-11,seco,29250
496,2014-05-12,seco,35217
497,2014-05-13,seco,36208
498,2014-05-14,seco,36708
499,2014-05-15,seco,36913
500,2014-05-16,seco,37320
501,2014-05-17,seco,34170
502,2014-05-18,seco,30308
503,2014-05-19,seco,36230
504,2014-05-20,seco,37095
505,2014-05-21,seco,37122
506,2014-05-22,seco,37782
507,2014-05-23,seco,38682
508,2014-05-24,seco,34401
509,2014-05-25,seco,30400
510,2014-05-26,seco,36202
511,2014-05-27,seco,36251
512,2014-05-28,seco,35580
513,2014-05-29,seco,35628
514,2014-05-30,seco,35248
515,2014-05-31,seco,32399
516,2014-06-01,seco,29468
517,2014-06-02,seco,35334
518,2014-06-03,seco,35186
519,2014-06-04,seco,35796
520,2014-06-05,seco,36529
521,2014-06-06,seco,37274
522,2014-06-07,seco,34347
523,2014-06-08,seco,30307
524,2014-06-09,seco,36588
525,2014-06-10,seco,37309
526,2014-06-11,seco,36870
527,2014-06-12,seco,34288
528,2014-06-13,seco,36147
529,2014-06-14,seco,33525
530,2014-06-15,seco,29634
531,2014-06-16,seco,35611
532,2014-06-17,seco,34460
533,2014-06-18,seco,36339
534,2014-06-19,seco,32015
535,2014-06-20,seco,33974
536,2014-06-21,seco,31870
537,2014-06-22,seco,28838
538,2014-06-23,seco,32447
539,2014-06-24,seco,35355
540,2014-06-25,seco,35833
541,2014-06-26,seco,36596
542,2014-06-27,seco,36304
543,2014-06-28,seco,31589
544,2014-06-29,seco,29428
545,2014-06-30,seco,34936
546,2014-07-01,seco,35837
547,2014-07-02,seco,36389
548,2014-07-03,seco,36784
549,2014-07-04,seco,34503
550,2014-07-05,seco,33224
551,2014-07-06,seco,29757
552,2014-07-07,seco,35687
