,dia,variable,value
10557,2014-06-04,n,5369
10558,2014-06-05,n,5348
10559,2014-06-06,n,5316
10560,2014-06-07,n,4937
10561,2014-06-08,n,4703
10562,2014-06-09,n,5241
10563,2014-06-10,n,5257
10564,2014-06-11,n,5170
10565,2014-06-12,n,4819
10566,2014-06-13,n,5076
10567,2014-06-14,n,4902
10568,2014-06-15,n,4705
10569,2014-06-16,n,5055
10570,2014-06-17,n,4863
10571,2014-06-18,n,4955
10572,2014-06-19,n,4591
10573,2014-06-20,n,4849
10574,2014-06-21,n,4834
10575,2014-06-22,n,4636
10576,2014-06-23,n,4883
10577,2014-06-24,n,5087
10578,2014-06-25,n,5019
10579,2014-06-26,n,5039
10580,2014-06-27,n,5010
10581,2014-06-28,n,4783
10582,2014-06-29,n,4629
10583,2014-06-30,n,4927
10584,2014-07-01,n,4967
10585,2014-07-02,n,5054
10586,2014-07-03,n,5129
10587,2014-07-04,n,4958
10588,2014-07-05,n,4876
10589,2014-07-06,n,4700
10590,2014-07-07,n,5129
10591,2014-07-08,n,4881
10592,2014-07-09,n,5110
10593,2014-07-10,n,5063
10594,2014-07-11,n,5036
10595,2014-07-12,n,4824
10596,2014-07-13,n,4553
10597,2014-07-14,n,4990
10598,2014-07-15,n,5113
10599,2014-07-16,n,5047
10600,2014-07-17,n,5081
10601,2014-07-18,n,5145
10602,2014-07-19,n,4918
10603,2014-07-20,n,4677
10604,2014-07-21,n,5173
10605,2014-07-22,n,5130
10606,2014-07-23,n,5111
10607,2014-07-24,n,5141
10608,2014-07-25,n,5041
10609,2014-07-26,n,4842
10610,2014-07-27,n,4629
10611,2014-07-28,n,4995
10612,2014-07-29,n,5120
10613,2014-07-30,n,5215
10614,2014-07-31,n,5197
10615,2014-08-01,n,5153
10616,2014-08-02,n,4939
10617,2014-08-03,n,4667
10618,2014-08-04,n,5180
10619,2014-08-05,n,5174
10620,2014-08-06,n,5078
10621,2014-08-07,n,5077
10622,2014-08-08,n,5129
10623,2014-08-09,n,4901
10624,2014-08-10,n,4616
10625,2014-08-11,n,5076
10626,2014-08-12,n,5201
10627,2014-08-13,n,5263
10628,2014-08-14,n,5292
10629,2014-08-15,n,5125
10630,2014-08-16,n,4856
10631,2014-08-17,n,4737
10632,2014-08-18,n,5339
10633,2014-08-19,n,5334
10634,2014-08-20,n,5328
10635,2014-08-21,n,5281
10636,2014-08-22,n,5265
10637,2014-08-23,n,4999
10638,2014-08-24,n,4772
